Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
25-01-2011,208.9709167,214.7375215,208.4803741,213.0260653,20325555
27-01-2011,205.5262604,210.911315,204.937612,210.6060974,28105152
28-01-2011,199.0511017,206.2239172,196.6528913,206.0277059,33855702
31-01-2011,200.4246216,202.5066993,196.892717,198.1463181,25332450
01-02-2011,195.2357635,202.2559551,193.720533,201.6891081,37898873
02-02-2011,200.8606262,202.2995377,197.8083643,198.3970125,28465716
03-02-2011,205.7878571,206.5727311,199.4871214,202.3213565,17047728
04-02-2011,200.5772095,206.5509263,199.0837803,206.5509263,20715343
07-02-2011,202.550293,204.6759731,199.3563225,201.819922,14586353
08-02-2011,199.5416412,204.0001281,198.6695621,204.0001281,19685333
09-02-2011,199.3345184,204.3271356,197.0126125,198.048201,38228022
10-02-2011,196.1405182,200.7516132,192.9683493,198.9420659,28347803
11-02-2011,198.3861389,199.4871312,193.6115196,196.2059411,20012347
14-02-2011,199.4435272,200.1956849,194.9305374,197.5467602,30145949
15-02-2011,205.3082275,205.9840954,198.6804582,199.356326,27266420
16-02-2011,205.8423767,207.2922036,204.5233719,204.5669744,11041551
17-02-2011,207.9789734,208.3059922,204.1200355,206.6490534,14091434
18-02-2011,203.9674072,209.9520102,203.1934338,208.4367797,15747939
21-02-2011,208.502182,209.4941533,203.6730602,204.0872984,25629860
22-02-2011,214.7157288,220.0680809,213.4948151,216.2745617,88922943
23-02-2011,217.0703278,218.5201545,214.7484365,215.0536539,31184499
24-02-2011,210.2136536,217.713502,208.9382367,217.1466404,32903650
25-02-2011,210.6605835,214.1488853,208.1097645,213.8109514,15101417
28-02-2011,210.2245483,216.7760131,209.2979661,211.5217518,22487428
01-03-2011,215.5877838,216.427161,210.8676826,212.2848074,12622459
03-03-2011,213.0914764,214.7484296,211.0639166,212.611849,19518684
04-03-2011,214.1379852,216.8850154,213.2441049,214.6721304,15419957
07-03-2011,213.0151672,214.3777889,210.1700315,212.3720159,11821324
08-03-2011,214.7375488,216.3617857,213.2223182,213.2223182,12057689
09-03-2011,216.6779175,218.9780077,211.0639353,215.5551094,32473255
10-03-2011,214.6939545,216.4926014,214.0943909,216.4271976,9853822
11-03-2011,216.2854614,216.9068116,211.9468819,213.3967086,15000438
14-03-2011,222.0193634,222.542608,216.329077,216.4816857,28811267
15-03-2011,226.1399231,228.8324504,215.5987126,217.571784,56447390
16-03-2011,228.2873993,230.0097563,226.3252285,227.8295585,20605120
17-03-2011,224.7445679,228.6580083,224.1232178,226.5868315,12381790
18-03-2011,216.4925842,225.6493712,215.0972606,225.6493712,40501886
21-03-2011,215.9039154,218.0186947,213.8981424,217.8115828,15546778
22-03-2011,217.9423981,219.0869927,216.3072608,216.503472,9793572
23-03-2011,220.9074707,221.6487278,217.1030361,217.9860158,11419987
24-03-2011,220.264328,222.8042465,218.8581036,221.4852272,11233928
25-03-2011,223.8180084,224.5483648,220.1988847,223.2293456,15392440
28-03-2011,223.6218109,225.943717,221.1363955,223.7417178,19079527
29-03-2011,222.9786224,224.9952961,222.2918686,222.3790736,18101992
30-03-2011,225.1043091,226.1944006,223.272946,224.0142175,12257428
31-03-2011,228.7234497,229.987966,225.5403797,225.5403797,31502965
01-04-2011,225.9545898,232.3861329,224.7772787,228.7125206,18772571
04-04-2011,229.0613708,229.9661518,224.3412692,226.7394649,13111730
05-04-2011,228.4073181,230.8818182,226.7394643,229.4647079,10756797
06-04-2011,227.7968597,229.8462355,226.73947,227.8295616,9083271
07-04-2011,227.1536713,228.3854708,225.6711428,227.8404251,10163661
08-04-2011,223.2293549,229.1158669,222.5207997,227.1754975,11995738
11-04-2011,219.1742096,222.2591738,218.814489,220.8529641,11296579
13-04-2011,222.7715302,223.2511576,217.2774551,218.4220498,19116564
15-04-2011,222.5862122,223.43649,219.1088108,222.0847688,14174275
18-04-2011,220.0135956,227.7641586,218.1495304,222.2046795,14793743
19-04-2011,220.5586243,221.8231404,217.7461904,219.0433938,12022958
20-04-2011,223.6654053,224.6682919,219.806482,221.5070232,10315413
21-04-2011,226.870285,227.6551592,224.5592942,225.6057833,14934401
25-04-2011,220.0571747,222.5970929,219.1414931,221.0709618,18138998
26-04-2011,218.2694397,219.9808815,217.4845656,219.9808815,17652410
27-04-2011,214.9882507,220.0026837,213.6801466,219.1088034,24710243
28-04-2011,212.0013733,216.4925613,211.4781288,216.2745488,35712321
29-04-2011,214.4758911,215.4024733,211.761563,212.5682382,14936357
02-05-2011,210.3335571,215.1408783,209.5813994,214.508613,13609544
03-05-2011,205.7878571,210.9112962,205.1665069,210.4098529,22028515
04-05-2011,206.6054535,208.5894256,204.9376141,206.0277058,11668233
05-05-2011,207.1068726,210.0719297,205.7333502,206.0276816,19582976
06-05-2011,208.2187653,209.2979562,206.9215473,207.7718251,12916462
09-05-2011,209.1453552,210.6169832,207.4229983,209.297964,8012908
10-05-2011,207.2812805,210.148232,206.365599,209.1453455,8143376
11-05-2011,208.3059998,208.9491512,205.7006774,207.9898816,8197011
12-05-2011,206.1367035,208.1533774,205.1556181,207.4448076,9218985
13-05-2011,206.6817627,209.7340253,204.4906787,206.0822137,13906027
16-05-2011,206.02771,207.4230192,205.2755377,207.1178017,7008149
17-05-2011,200.7189331,206.4201202,199.977676,206.1694058,17384039
18-05-2011,196.6201782,201.4165988,195.8571199,200.5772216,24814804
19-05-2011,199.5961151,201.0132399,197.2524227,198.0481828,18072585
20-05-2011,201.2748871,201.8417342,198.4624529,200.2392985,13873483
23-05-2011,198.2662201,201.013265,196.9363147,200.3592129,14836682
24-05-2011,199.6506348,200.7734282,197.5249547,197.5249547,11107409
25-05-2011,197.5249634,199.2909083,196.4348717,199.2909083,13112272
26-05-2011,203.5967712,204.2508233,198.6368415,198.9638748,30001792
27-05-2011,206.1257935,207.7500302,203.6512789,203.6512789,15134521
30-05-2011,204.6868591,207.7718231,203.6839726,206.8888435,7564463
31-05-2011,207.5211182,208.4040833,204.3489345,206.0276889,14083332
01-06-2011,206.420105,209.0036403,205.7333511,207.5538136,8042814
02-06-2011,207.3467102,208.142485,204.1854414,204.1854414,9418728
03-06-2011,203.7602997,210.8241088,203.0844463,209.4069838,19110238
06-06-2011,204.4470673,205.11202,202.3540744,203.7711994,6149800
07-06-2011,208.9164429,209.2979793,203.5313883,203.5313883,17612490
08-06-2011,206.9433441,208.414972,205.7987495,208.2623633,14205061
09-06-2011,207.9898682,208.8292309,206.463737,206.5727432,9152117
10-06-2011,205.9186707,208.4258872,203.2043423,208.2296759,11068775
13-06-2011,201.798111,205.6461479,200.7952244,205.6461479,12923374
14-06-2011,198.6913605,203.1389466,198.3970436,201.7327223,18967099
